STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,the_geom,OBJECTID
36,029,004003,36029004003,40.03,Census Tract,G5020,S,890101,0,+42.9354233,-078.8338819,"MULTIPOLYGON (((-78.83926514923 42.931338481771, -78.839258148956 42.931960481788, -78.839261149174 42.932906481516, -78.839262149242 42.933162481677, -78.839256148988 42.933462482076, -78.839253149765 42.933671481859, -78.839252149725 42.933743481595, -78.839249149608 42.934023481967, -78.839243149374 42.934557482408, -78.839238149181 42.935034482007, -78.839237149161 42.935357482572, -78.839235149125 42.936037482576, -78.83923314994 42.936142482041, -78.839225149599 42.936508482798, -78.839216149224 42.937029482636, -78.839213149996 42.937180482432, -78.839217149336 42.937824482569, -78.839221149588 42.93863048301, -78.838299149044 42.938623482727, -78.836544148627 42.940236482836, -78.834866148951 42.940216482884, -78.831524147552 42.940177483026, -78.828124146157 42.940132483793, -78.82815314655 42.939472483814, -78.828157146709 42.93914648311, -78.828164146108 42.938820483306, -78.828167146234 42.93866148314, -78.828202145937 42.937167483221, -78.828220145809 42.936390483222, -78.828217145667 42.936350483169, -78.828239145646 42.934629482634, -78.828249146044 42.933817482814, -78.828274146215 42.932726482667, -78.829184146202 42.932741482421, -78.829404146526 42.932745482597, -78.830272146361 42.932759482307, -78.830523146325 42.932763482481, -78.830832146284 42.932768481799, -78.831372147077 42.932777482192, -78.831414147102 42.931239482034, -78.831153146644 42.930872482143, -78.834277147705 42.929607480997, -78.834522147382 42.929508481798, -78.834778147605 42.929844481154, -78.834771147334 42.930497481708, -78.836529148026 42.930521481841, -78.839278148871 42.930566481104, -78.83926514923 42.931338481771)))",37
36,029,000900,36029000900,9,Census Tract,G5020,S,549188,0,+42.8539069,-078.8165216,"MULTIPOLYGON (((-78.823623137997 42.856317469039, -78.823526137998 42.856430468878, -78.822995137752 42.8579844689, -78.822972137589 42.858053469397, -78.82274913808 42.858703468922, -78.822581137513 42.859182469521, -78.822385138331 42.859499468917, -78.821512137344 42.859240469556, -78.821019137812 42.858970469669, -78.820343136966 42.858554469326, -78.819981137226 42.85833146891, -78.819370136705 42.857967469173, -78.818247136683 42.857508469557, -78.817441136103 42.857174469419, -78.817136136317 42.857018469405, -78.816347135622 42.856616468816, -78.816283135345 42.856583469089, -78.815551135488 42.856065469423, -78.815366134981 42.855934468762, -78.814391134612 42.855170468509, -78.813935134992 42.854797469248, -78.813286134491 42.854266468975, -78.812238134326 42.853463468719, -78.811816133589 42.853119469, -78.811554133996 42.852905468997, -78.810569133159 42.852086468896, -78.809998133588 42.851628468402, -78.809398132665 42.851116468108, -78.809166132666 42.850883468123, -78.809385132919 42.850610468066, -78.809429133161 42.850578468381, -78.810833133518 42.849555467723, -78.812359134137 42.848448467667, -78.812505133712 42.848338467964, -78.812530133975 42.848357467943, -78.813452134575 42.849045467378, -78.813534133891 42.849105467454, -78.813911134332 42.849383467717, -78.814270134835 42.849650467471, -78.814318134369 42.849686468237, -78.814981134618 42.850180467695, -78.815134134537 42.85029446757, -78.815686135021 42.850705467687, -78.815946135418 42.850898467617, -78.816399134896 42.851234467864, -78.816759135446 42.851504467757, -78.817122135237 42.851777467789, -78.817591135458 42.852122468452, -78.817842135437 42.852306467966, -78.818425136462 42.852736468062, -78.818520136383 42.852807468646, -78.819205136755 42.853317467945, -78.819258136521 42.85335646795, -78.819976136629 42.853891468404, -78.820022136969 42.853926468224, -78.820438136525 42.854232468882, -78.820719137 42.854437468467, -78.821420137216 42.854952468896, -78.822166137725 42.855498468959, -78.822709137791 42.85590046866, -78.823611138318 42.856068468304, -78.823623137997 42.856317469039)))",7
36,029,003501,36029003501,35.01,Census Tract,G5020,S,680915,0,+42.9088219,-078.8294903,"MULTIPOLYGON (((-78.835842145396 42.903785477094, -78.835839146202 42.904337476569, -78.835828145834 42.906077477083, -78.835828145868 42.906479476808, -78.835718146156 42.906478476767, -78.835711145892 42.907220476944, -78.83446014536 42.907212477529, -78.833835145117 42.907207477325, -78.832384145191 42.907198477872, -78.832393144797 42.908257477436, -78.832393144836 42.908728477657, -78.832399145144 42.90908447795, -78.832402145303 42.909322478177, -78.83241514506 42.909959477989, -78.832416145143 42.910402477813, -78.832424145587 42.911286478268, -78.832402145532 42.912098478089, -78.830557144398 42.912081478284, -78.829352144203 42.912069478681, -78.829004144239 42.912152478942, -78.829010144553 42.912585478303, -78.829021144177 42.912733478859, -78.829055144893 42.91318247896, -78.829139144339 42.913693478331, -78.829260144599 42.914151478845, -78.82937714466 42.914439478683, -78.829423145004 42.914522478926, -78.829092144923 42.914517478709, -78.827800144285 42.91450547911, -78.827287143847 42.914499478855, -78.826503143415 42.914490479373, -78.826403143269 42.914488479285, -78.825365143633 42.914471479443, -78.82441514269 42.914482479096, -78.824289143135 42.91448547924, -78.824272143172 42.913601478786, -78.824266142829 42.912829479019, -78.824262142577 42.912021478485, -78.82425914237 42.911195478916, -78.824264142562 42.910716478324, -78.82426114239 42.910321478024, -78.824256142966 42.909206478565, -78.824256142957 42.909102478247, -78.82425114267 42.90843147776, -78.824819142944 42.908200477833, -78.825435142748 42.907950477923, -78.826268142729 42.907621477943, -78.82722714316 42.907244477534, -78.828297143346 42.906816477457, -78.828937144264 42.906561477314, -78.82890714352 42.903532477382, -78.8297481439 42.903541476861, -78.82994914424 42.903543476945, -78.830748144469 42.903553476473, -78.830940144391 42.903555476557, -78.831748144139 42.903572476409, -78.832124144511 42.903577476624, -78.832672144776 42.903585476969, -78.833317145049 42.903594476458, -78.83356314478 42.903598476632, -78.834504145308 42.903612476339, -78.834983145966 42.903618476596, -78.835508146062 42.903629477081, -78.83584314543 42.903635476445, -78.835842145396 42.903785477094)))",30
36,029,005500,36029005500,55,Census Tract,G5020,S,1559835,0,+42.9388805,-078.8889408,"MULTIPOLYGON (((-78.898815168213 42.936412480188, -78.898462168067 42.937096479494, -78.898251168206 42.937625479712, -78.898210168109 42.937727479939, -78.898114168226 42.938670480432, -78.898385168264 42.939213480378, -78.898422169091 42.939305480138, -78.898602168484 42.939651479961, -78.897427168811 42.939977480716, -78.896539168068 42.940222480407, -78.896480168064 42.940674480651, -78.896420168014 42.941132480273, -78.8962761686 42.942070480536, -78.896131168185 42.942352481007, -78.895982168483 42.942610481267, -78.895841168247 42.9428074814, -78.895678167889 42.942996481164, -78.895520167759 42.943137481404, -78.895158168059 42.943394480727, -78.89486716805 42.943559481184, -78.894529167657 42.943713481134, -78.894259167718 42.943808481048, -78.893960167331 42.943891481306, -78.893781167117 42.943935481552, -78.893505167796 42.943990481413, -78.893243167326 42.944035481709, -78.892966167057 42.944065481312, -78.891505166666 42.944054481767, -78.890106166457 42.944043481321, -78.884894164567 42.944058481349, -78.883335164124 42.94406348165, -78.878383162616 42.94407748162, -78.878385162706 42.944037482466, -78.878463162582 42.942251481618, -78.878485162683 42.941987481986, -78.878530162926 42.941415481583, -78.878537162345 42.94133448143, -78.878599162463 42.940572481224, -78.878603162586 42.939816481299, -78.878603162571 42.939633480921, -78.878606162664 42.939078481307, -78.87860716268 42.938701480941, -78.878596162105 42.937928481128, -78.878585162489 42.937872481234, -78.878588162622 42.937801480645, -78.878411162426 42.936940480363, -78.878313162329 42.936420480576, -78.878244161793 42.936048480444, -78.878200161532 42.935847480134, -78.878148161784 42.935472480762, -78.878091161817 42.935254480565, -78.877943162118 42.934986480755, -78.877748162027 42.934634480656, -78.877530161771 42.934315480286, -78.877508161646 42.934282480558, -78.87745416183 42.934204480547, -78.877727161919 42.93423848031, -78.878175162042 42.934311480072, -78.878590161533 42.934382480643, -78.879041161802 42.934529480234, -78.879284162302 42.934628480309, -78.879507161875 42.934754480737, -78.87977016241 42.934926480594, -78.880069162822 42.935149480112, -78.880236162499 42.935354480602, -78.880413162643 42.935585480496, -78.880623162527 42.935894480403, -78.880859162716 42.936166480394, -78.880975162716 42.936286480549, -78.881150162759 42.936423480588, -78.881429163137 42.936585480881, -78.881722163265 42.936745480181, -78.881993163268 42.936866480375, -78.882369163651 42.936997481026, -78.882777163718 42.937098480288, -78.883214163333 42.937188480838, -78.883584163431 42.937251480141, -78.883912164276 42.937296480411, -78.884416164297 42.937315480368, -78.884874163981 42.93732848095, -78.884977164266 42.937322480667, -78.885343164172 42.937302480624, -78.885636164287 42.937299480472, -78.886239164406 42.937287480789, -78.886860164462 42.937275480206, -78.887128165211 42.937237480233, -78.887284165259 42.9372174802, -78.887454165055 42.937179480232, -78.887751165351 42.93711348076, -78.887977165045 42.937025480273, -78.888185164803 42.936933480502, -78.888302164835 42.936877480602, -78.888400164885 42.936823479896, -78.888595164931 42.93664847988, -78.888753165064 42.936534479991, -78.888790164987 42.936582480413, -78.889172165615 42.936309480348, -78.891038165816 42.934996479733, -78.89195216593 42.934308479318, -78.892092166127 42.934205479939, -78.892353166537 42.933990479867, -78.89252616646 42.933794479778, -78.892668166745 42.933629479328, -78.892833166293 42.933398479418, -78.892990166367 42.933136478973, -78.893066166283 42.932946479167, -78.893208166548 42.932546479528, -78.89330816667 42.932252479403, -78.893408166798 42.932028478921, -78.893501166606 42.931862479326, -78.89362816619 42.931643479074, -78.893755166677 42.931476479431, -78.894034167017 42.931186478583, -78.894668166739 42.930710479001, -78.895441166604 42.930049478943, -78.895647167155 42.929793478773, -78.896236167466 42.929094478762, -78.896392167499 42.928897478628, -78.896497166969 42.928785478835, -78.896556167005 42.928711478104, -78.896647167628 42.928653478113, -78.896933167401 42.92844647841, -78.897148167479 42.928293478511, -78.897586167115 42.928088477995, -78.897562167814 42.92826447805, -78.897523167825 42.928549478655, -78.897513167367 42.928617478206, -78.897471167242 42.928941478819, -78.897410167145 42.929395478255, -78.897276167306 42.930450478539, -78.897273167169 42.930478478936, -78.89694016812 42.933199479015, -78.89671616776 42.934993479341, -78.896719167936 42.935446479628, -78.896736167843 42.935648479985, -78.896775167865 42.935759479726, -78.896822168254 42.935828479322, -78.896919168267 42.935899479906, -78.896979168356 42.935903480089, -78.897028167933 42.935909479465, -78.897129168128 42.93592047997, -78.898038168072 42.935981480055, -78.898500168841 42.935996479829, -78.898993168356 42.936067479497, -78.898815168213 42.936412480188)))",56
36,029,004901,36029004901,49.01,Census Tract,G5020,S,258659,0,+42.9457704,-078.8601229,"MULTIPOLYGON (((-78.868149159609 42.944630482498, -78.867984159142 42.944631482551, -78.867415158802 42.944629482484, -78.864283158163 42.944615482875, -78.863065158264 42.944602483227, -78.863053157937 42.947383483371, -78.863051157875 42.947761483784, -78.861826157651 42.947754483514, -78.860480157205 42.94774748325, -78.860454156897 42.947747483251, -78.859033156565 42.947736483705, -78.857443156479 42.947721483981, -78.857404156467 42.947721483983, -78.855883155988 42.947706483356, -78.855882155939 42.947672483581, -78.855906156014 42.945985483721, -78.855940155674 42.944529482864, -78.857274155564 42.944546482692, -78.856967155648 42.943946482807, -78.859936156822 42.944074483205, -78.860404156969 42.94407548323, -78.868081159104 42.944082482312, -78.868141159234 42.944578482789, -78.868149159609 42.944630482498)))",48
36,029,001601,36029001601,16.01,Census Tract,G5020,S,1362133,0,+42.8889822,-078.8269589,"MULTIPOLYGON (((-78.8392391451 42.88501747322, -78.838073144957 42.885487473447, -78.837340145121 42.885786472933, -78.837063144869 42.886032473542, -78.836166144653 42.886825473422, -78.835713144336 42.887228474113, -78.835667144003 42.887269473315, -78.835164144077 42.887856473533, -78.833569143915 42.889719474417, -78.833603143695 42.889719474415, -78.83449614379 42.889714474144, -78.835334144929 42.889711473968, -78.835333145074 42.892029474261, -78.835336144464 42.893845474696, -78.834491144813 42.894031475251, -78.83387214396 42.894152475484, -78.833582143988 42.89419547479, -78.832647143752 42.894339475203, -78.831715143656 42.894481475523, -78.830876143379 42.894605475006, -78.830779143373 42.894619475658, -78.829950143561 42.894744475187, -78.829182142984 42.894860475196, -78.828857143186 42.89490947568, -78.828242142516 42.89500147547, -78.82713214225 42.895170475249, -78.82634214245 42.895289475398, -78.825939141729 42.895350475542, -78.825947142063 42.894899475347, -78.825941141692 42.893774475425, -78.825941141549 42.892032474818, -78.825924141546 42.89067247481, -78.825872141809 42.89042247493, -78.825850141675 42.89027847456, -78.825789141509 42.889886474401, -78.825717141724 42.889422474507, -78.825679141738 42.889178474904, -78.825637141565 42.888906474904, -78.82559214125 42.888621474302, -78.824767140744 42.888982474864, -78.824473140596 42.889141474144, -78.824155141138 42.889376474245, -78.82288114052 42.890371474501, -78.821581140455 42.890904474952, -78.820937140252 42.891172474798, -78.818082139091 42.892438475079, -78.816859139005 42.892979475897, -78.816727139176 42.893038475937, -78.816837138876 42.892895475607, -78.817005138565 42.892675475307, -78.817196139315 42.892379475085, -78.81732913917 42.892070475163, -78.81735413941 42.89180647553, -78.817317138571 42.891558475742, -78.817239138528 42.891330475082, -78.817150138878 42.891165475541, -78.816757138569 42.890592475112, -78.81663013895 42.89038747552, -78.816544138541 42.890224475172, -78.816530138786 42.890171475417, -78.816508138654 42.890054475397, -78.816508138622 42.889667474568, -78.816502137983 42.885289474235, -78.816546138202 42.884981474363, -78.816610138461 42.88480447426, -78.818279138617 42.884814473749, -78.819514139306 42.88482647425, -78.820959139852 42.88483047437, -78.824112140568 42.884859473774, -78.824141140116 42.884859473773, -78.825618141249 42.88486947417, -78.825657141261 42.884870473315, -78.827053141332 42.884884473901, -78.827697141558 42.884890473251, -78.829878142105 42.884905473848, -78.832056143413 42.884921473592, -78.834089143385 42.884953473185, -78.834666144098 42.884959473437, -78.835140143624 42.884963473601, -78.835775144331 42.884969472951, -78.835930144334 42.88497047299, -78.837268144409 42.884983473533, -78.838145144662 42.884991472965, -78.839114145591 42.885015473133, -78.8392391451 42.88501747322)))",13
36,029,005202,36029005202,52.02,Census Tract,G5020,S,582904,0,+42.9246158,-078.8487653,"MULTIPOLYGON (((-78.85731815396 42.922189479193, -78.85672515435 42.922748479018, -78.856209153813 42.923240479335, -78.855641153565 42.923781479225, -78.853977153772 42.925361479601, -78.853830153253 42.925501479793, -78.853274153559 42.926011480046, -78.852957153253 42.926303480089, -78.852721153105 42.926526479631, -78.852336153245 42.926889480266, -78.851861152809 42.927331480065, -78.851731153078 42.927453480323, -78.851508152633 42.927663480162, -78.851167152987 42.927656479853, -78.850929152727 42.927652480578, -78.850661152873 42.927647480359, -78.850494152313 42.927644480227, -78.850378152323 42.92764248014, -78.850146152342 42.927639480011, -78.850041151963 42.927637479923, -78.84995415242 42.927635480734, -78.849892152239 42.927634480691, -78.846137151447 42.927576480871, -78.84344015032 42.927543480363, -78.842756150035 42.927534480876, -78.842761150219 42.926952480912, -78.842777149838 42.924229479855, -78.842752149556 42.92398048002, -78.842721149898 42.923772480284, -78.84269714967 42.923613480119, -78.842779149873 42.923529479824, -78.842842150094 42.923448479669, -78.842907149508 42.923364480273, -78.84305214993 42.923181479889, -78.843233149314 42.922852479938, -78.84334515 42.922636479826, -78.843413149537 42.922354479358, -78.843465150132 42.922103479427, -78.843489149435 42.921943479213, -78.843769149846 42.921949479479, -78.843804149673 42.921950479523, -78.844019149763 42.921953479653, -78.844555150371 42.921962479146, -78.845454150746 42.9219774798, -78.845768150038 42.921982479119, -78.846897151202 42.922003479141, -78.846939150454 42.922003479139, -78.848113151009 42.92202447916, -78.848677151118 42.92203647969, -78.848907151906 42.922045479197, -78.84935615207 42.922050479409, -78.849623151878 42.922058479767, -78.852978152983 42.922122478983, -78.853834153161 42.922136479593, -78.853990153211 42.922144479057, -78.854164153197 42.922152479419, -78.854941153304 42.92216747918, -78.85563315396 42.922177478713, -78.857069154089 42.922192479343, -78.85731815396 42.922189479193)))",53
36,029,006302,36029006302,63.02,Census Tract,G5020,S,1050556,0,+42.9269968,-078.8724779,"MULTIPOLYGON (((-78.877393161695 42.934197480226, -78.876982161491 42.934121480323, -78.876378161318 42.934044480382, -78.875578161035 42.933941480146, -78.875331161255 42.933921480131, -78.874945160419 42.933917479963, -78.874659160631 42.933941480187, -78.874648161016 42.93390548032, -78.874569160939 42.933830480449, -78.874496160242 42.933760479909, -78.874307160447 42.933614480353, -78.874073160361 42.933456480244, -78.873973160203 42.933328480618, -78.873927160749 42.933130480446, -78.873791160714 42.932947480074, -78.8735651601 42.932789479964, -78.873352160094 42.932686480601, -78.873122160202 42.932644480466, -78.872845159932 42.932656480135, -78.872306160089 42.932701480443, -78.871781160001 42.93279048009, -78.871372159893 42.932761480565, -78.870866159777 42.932719480442, -78.870391159297 42.932623480515, -78.869770159226 42.932453480767, -78.86914815911 42.932294480628, -78.868618158764 42.932076480452, -78.868011158425 42.931681480179, -78.867820158544 42.93161248059, -78.867326158073 42.93142247991, -78.866981158225 42.931224480652, -78.866910157599 42.930888480388, -78.866435157982 42.930359480201, -78.866144157922 42.929893480224, -78.865965157684 42.92965447996, -78.865880157329 42.929579480089, -78.865995157249 42.929301479804, -78.866061157604 42.929151480051, -78.866208157221 42.928982479415, -78.866355157741 42.928854479778, -78.866535157995 42.928736479703, -78.866858157693 42.928600479688, -78.867225157634 42.928446479737, -78.867456157554 42.928270479673, -78.867574157626 42.928131479528, -78.86760315807 42.928097479751, -78.867779158121 42.927769479847, -78.867631157394 42.925956479557, -78.867605157945 42.925466479357, -78.867581157707 42.925192479263, -78.867507157795 42.924298479248, -78.867445157551 42.923542478426, -78.869783158191 42.923509478592, -78.870630158805 42.922983478485, -78.869814157731 42.922292478907, -78.869793158553 42.922275478121, -78.868888157833 42.92146647848, -78.868045157307 42.920811477872, -78.867937157691 42.92085147793, -78.867825156987 42.920850477889, -78.867711157089 42.920842478423, -78.867618157264 42.920802478374, -78.867427157372 42.920599477978, -78.867504157333 42.920395478422, -78.867874157417 42.920288477949, -78.86801815781 42.920313478201, -78.868172157787 42.92056247803, -78.868603158014 42.92055447854, -78.868850157791 42.920548478251, -78.868996157376 42.920545478105, -78.870638158073 42.920506478025, -78.871469158886 42.920490478147, -78.875326159905 42.920398478212, -78.876203160155 42.920374477961, -78.877013159993 42.920363477416, -78.877014160122 42.921354478328, -78.877013160146 42.922212478479, -78.87701216014 42.922697478449, -78.877008160919 42.923486478104, -78.877010160172 42.924211478393, -78.877009161128 42.92545747852, -78.87700516099 42.926037479291, -78.877009161335 42.927958479191, -78.877037160836 42.927957479143, -78.877029161482 42.929377479232, -78.877000161147 42.930738479289, -78.876987161488 42.931279480053, -78.876992160852 42.931663479844, -78.876991160833 42.931992479786, -78.876990160839 42.932632479738, -78.876988161689 42.933152480429, -78.876987161662 42.933385480424, -78.877297161712 42.933929480413, -78.87745416183 42.934204480547, -78.877393161695 42.934197480226)))",64
36,029,004200,36029004200,42,Census Tract,G5020,S,969661,0,+42.9352495,-078.8186469,"MULTIPOLYGON (((-78.82640714557 42.940115483982, -78.826023145726 42.940109483721, -78.825357145378 42.94010148338, -78.824911145352 42.940095484022, -78.824196145427 42.940086483637, -78.822948145036 42.940101483488, -78.822628144567 42.940105483687, -78.821612144156 42.940117484288, -78.821564144626 42.94011748429, -78.820503143925 42.940135484271, -78.820185143548 42.940137483479, -78.819446143409 42.940147483975, -78.818384143561 42.940159483678, -78.817338142657 42.940171484281, -78.815287141852 42.940190484352, -78.814128141997 42.940210484431, -78.813656141665 42.940210484452, -78.813652141412 42.939399483779, -78.813647142071 42.939298484499, -78.813651141343 42.939132484008, -78.813651141302 42.938632484243, -78.813646141914 42.937965483942, -78.813642141677 42.937340483786, -78.813641141566 42.936556483463, -78.813649140976 42.935811483147, -78.813649140914 42.935064483638, -78.813648141747 42.934817482995, -78.81364914086 42.934406482854, -78.813654141056 42.933969483307, -78.813656141139 42.933842482823, -78.81364814165 42.933640483365, -78.813648141606 42.93311048311, -78.813652140849 42.932581482901, -78.813654140925 42.932378482496, -78.813657140994 42.931531482854, -78.813658141029 42.931387482483, -78.813660141104 42.93117048233, -78.813654140785 42.930680482128, -78.81365214068 42.930534482564, -78.813651140579 42.929878482771, -78.813652140608 42.92966348271, -78.813656140746 42.929084481986, -78.813659140861 42.928787481726, -78.815921141573 42.928813481929, -78.81841414222 42.928830481706, -78.818427141995 42.92969548218, -78.818431142214 42.930092482573, -78.818434142379 42.93040948196, -78.818435142438 42.930557482516, -78.818437142543 42.930702482034, -78.818438142593 42.930749482411, -78.81843714255 42.93079348265, -78.818437142555 42.930851482637, -78.818942142609 42.930698482726, -78.819538143284 42.930463482612, -78.820684143408 42.930123482109, -78.820881143566 42.930165482246, -78.821126143255 42.930218481991, -78.823235144376 42.934087482947, -78.823814144369 42.935152482762, -78.825987145785 42.939282483208, -78.826364145363 42.940000484055, -78.82640714557 42.940115483982)))",39
36,029,016900,36029016900,169,Census Tract,G5020,S,900017,0,+42.9188749,-078.8681743,"MULTIPOLYGON (((-78.877042160156 42.916927477524, -78.877037159926 42.916946477505, -78.877032159741 42.917520477099, -78.877023160316 42.91865647753, -78.877023160319 42.918685477973, -78.877017160104 42.919459477833, -78.877013159993 42.920363477416, -78.876203160155 42.920374477961, -78.875326159905 42.920398478212, -78.871469158886 42.920490478147, -78.870638158073 42.920506478025, -78.868996157376 42.920545478105, -78.868850157791 42.920548478251, -78.868603158014 42.92055447854, -78.868172157787 42.92056247803, -78.86801815781 42.920313478201, -78.867874157417 42.920288477949, -78.867504157333 42.920395478422, -78.867427157372 42.920599477978, -78.867618157264 42.920802478374, -78.867711157089 42.920842478423, -78.867825156987 42.920850477889, -78.867937157691 42.92085147793, -78.868045157307 42.920811477872, -78.868888157833 42.92146647848, -78.869793158553 42.922275478121, -78.869814157731 42.922292478907, -78.870630158805 42.922983478485, -78.869783158191 42.923509478592, -78.867445157551 42.923542478426, -78.867410157683 42.923038478477, -78.867334157691 42.922307478813, -78.867332157596 42.922280478462, -78.864639156658 42.92227847849, -78.863773156017 42.922273479196, -78.863029155644 42.922269479044, -78.862193155497 42.92226447885, -78.860729154966 42.922246478982, -78.860040155349 42.922242478827, -78.859332154849 42.922234479388, -78.858927154929 42.922225478989, -78.85731815396 42.922189479193, -78.857568153858 42.921958479279, -78.858018154033 42.921534478516, -78.858838154273 42.92076047862, -78.859238154828 42.920376478811, -78.859408154614 42.920212478406, -78.859944155178 42.919701478107, -78.860173155001 42.91948247875, -78.860627155362 42.919048478423, -78.861305155313 42.918394477793, -78.861957154959 42.917772477747, -78.862105155524 42.917631478407, -78.8622641557 42.917481477751, -78.862850155882 42.916897477668, -78.863597155434 42.916167478014, -78.86379215548 42.915987477766, -78.864435155607 42.91535747735, -78.864658156069 42.915360477478, -78.865498156403 42.915373477143, -78.86682715696 42.915384477593, -78.869176157215 42.915402477423, -78.870124158066 42.915408477658, -78.870692157461 42.915412476918, -78.873131158298 42.915434476929, -78.87351815918 42.91543747705, -78.873713159242 42.915439477134, -78.875684159032 42.91545747698, -78.876345160047 42.915463477228, -78.877050159508 42.915473476761, -78.877042160156 42.916927477524)))",87
