the_geom,OBJECTID,NYSStreetID,LeftFromAddress,LeftToAddress,RightFromAddress,RightToAddress,CompleteStreetName,HighwayNumber,Jurisdiction,FCC,ACC,SPEED,LeftPostal,RightPostal,Shape.STLength()
"MULTILINESTRING ((-78.862643159841 42.931828482217, -78.86289315741 42.932168486191, -78.86315315531 42.932618483014))",4760,600058501,,,,,Unnamed Street,,14,A70,6,15,14214,14214,97.321471927093
"MULTILINESTRING ((-78.845214165985 42.870862468615, -78.844956091128 42.871653486532))",10718,477797294,316,370,317,369,Smith Street,,12,A31,4,35,14210,14210,90.442700644886571
"MULTILINESTRING ((-78.827217182418 42.865740509822, -78.827070114355 42.866012485554, -78.826087157535 42.867394514466))",11117,477798597,22,98,23,99,James P Coppola,,12,A30,4,35,14210,14210,205.95396010793684
"MULTILINESTRING ((-78.804619308533 42.860630971559, -78.803483224799 42.860864965776, -78.803105296887 42.86093489243, -78.802862201528 42.860991401227, -78.802695808719 42.860994747863))",557,477799268,248,308,,,Mineral Springs Road,,12,A35,4,35,14210,14210,162.83118260894148
"MULTILINESTRING ((-78.868159186902 42.945680508905, -78.86821121075 42.945681449377))",3403,477776677,98,98,99,99,Tioga Street,,12,A41,5,25,14216,14216,4.250599957696331
"MULTILINESTRING ((-78.880745173352 42.880685482189, -78.880940200009 42.880685434038, -78.88097614973 42.880694477819))",7563,477794717,,,,,Lakefront Boulevard,,12,A45,5,25,14202,14202,19.053436056762585
"MULTILINESTRING ((-78.841679132884 42.945003520858, -78.844082199098 42.945024469905))",3951,477776829,222,270,223,285,Woodbridge Avenue,,12,A41,5,25,14214,14214,196.29551930694913
"MULTILINESTRING ((-78.854295176913 42.957867440316, -78.854296126306 42.958643526395))",3670,477773802,60,98,61,99,Hobmoor Avenue,,12,A41,5,25,14216,14216,86.287278320921374
"MULTILINESTRING ((-78.83328316034 42.870150458044, -78.832419132143 42.869817473884))",11027,477797600,1218,1256,1229,1249,Seneca Street,16,01,A21,4,35,14210,14210,79.769981822852287
"MULTILINESTRING ((-78.896921216842 42.93315697798, -78.895606667022 42.933076241379))",3024,600049307,,,,,Unnamed Street,,12,A41,5,25,14207,14207,107.77088364211248
"MULTILINESTRING ((-78.870220123874 42.886786505263, -78.86981218249 42.888050484976))",7343,477793060,196,246,195,245,Oak Street,954D,01,A30,2,35,14203,14203,144.43604432466779
"MULTILINESTRING ((-78.836226147186 42.958371518314, -78.836227091503 42.95840245936))",3787,477773637,,,,,Fairfield Avenue,,03,A41,5,25,14216,14216,3.440930107225748
"MULTILINESTRING ((-78.896358135814 42.955083482166, -78.896817151737 42.955323446915, -78.896888200782 42.955330478325))",2621,477774518,1,49,2,50,Crosslane Road,,12,A40,5,25,14207,14207,51.867486681933869
"MULTILINESTRING ((-78.843065157155 42.870423496253, -78.843396207733 42.870483496913))",10683,477797387,,,,,Interstate 190 Northbound,190,06,A15,1,65,14210,14210,27.882568031036666
"MULTILINESTRING ((-78.828229091863 42.855757436225, -78.827782162484 42.855941492079, -78.827717198358 42.855975450534, -78.827648150995 42.856125424561, -78.827579091583 42.856346438927, -78.827447198565 42.856766469904))",11299,477799830,122,198,133,199,Good Avenue,,12,A40,5,25,14220,14220,139.15985517632538
"MULTILINESTRING ((-78.868073611478 42.944024916014, -78.868135203695 42.944635451802))",3394,477777067,2204,2232,2207,2221,Delaware Avenue,384,01,A31,3,35,14216,14216,68.067578808862052
"MULTILINESTRING ((-78.854969202878 42.887829438336, -78.854994121925 42.887987514208, -78.855248193819 42.888631447782))",7138,477792871,94,126,95,125,Mortimer Street,,12,A41,5,25,14204,14204,92.238777499331718
"MULTILINESTRING ((-78.844511114144 42.920101523184, -78.844471175893 42.92119150745))",5699,477784081,2,98,1,99,Regina Place,,12,A41,5,25,14208,14208,121.22981522726516
"MULTILINESTRING ((-78.895695226901 42.908783489289, -78.897161109762 42.910359498786))",8908,477787137,478,536,473,545,Fargo Avenue,,12,A40,5,25,14213,14213,212.26959673952049
"MULTILINESTRING ((-78.85873315435 42.928538478894, -78.858693172203 42.928656624784, -78.858861350802 42.92947996404, -78.858857617633 42.929627795959, -78.858835668428 42.929795285692, -78.858753156265 42.930008478964))",4729,600058533,,,,,Unnamed Street,,14,A70,6,15,14214,14214,165.89273677670107
"MULTILINESTRING ((-78.813803193378 42.957391478908, -78.813812129686 42.958140470382))",2327,477773902,,,3677,3739,Bailey Avenue,62,01,A25,3,35,14226,14226,83.275872255751068
"MULTILINESTRING ((-78.86683221754 42.893089515738, -78.866406174315 42.894447464154))",7066,477791497,500,582,495,541,Elm Street,954D,01,A30,4,35,14203,14203,154.94515578074916
"MULTILINESTRING ((-78.823927117288 42.830726472764, -78.824236110967 42.830595486795, -78.82459019424 42.830487482123))",11795,477803095,,,2571,2599,Botanical Drive,,12,A41,5,25,14218,14218,60.543219848976037
"MULTILINESTRING ((-78.83618509405 42.847067430643, -78.835340190474 42.847079480472, -78.834917111651 42.847072423539))",11582,477800881,632,634,637,637,Tifft Street,,12,A41,4,25,14220,14220,103.75422948671743
"MULTILINESTRING ((-78.858753156265 42.930008478964, -78.858447925639 42.930468257053, -78.858396741046 42.930621850432, -78.858339316686 42.931064502459))",4721,600058522,,,,,Unnamed Street,,14,A70,6,15,14214,14214,123.89718910814028
"MULTILINESTRING ((-78.878986152338 42.880311473309, -78.879229135427 42.880447467971, -78.879448196957 42.880590486498, -78.879792147957 42.880780497262, -78.879911179941 42.880841464312))",9884,506986503,,,,,Ramp,951K,06,A63,2,45,14202,14202,95.954396597530632
"MULTILINESTRING ((-78.853607175422 42.958654305023, -78.85360239397 42.958654186181, -78.853597705796 42.958653238855, -78.853593253347 42.958651491828, -78.85358917191 42.958648998182, -78.853585585495 42.958645833686, -78.853582603075 42.958642094492, -78.853580315269 42.958637894213, -78.85357879159 42.958633360472, -78.853578078336 42.958628631025, -78.853578197177 42.958623849573, -78.853579144504 42.958619161399, -78.853580891531 42.95861470895, -78.853583385177 42.958610627512, -78.853586549672 42.958607041098, -78.853590288866 42.958604058678, -78.853594489146 42.958601770871, -78.853599022887 42.958600247193, -78.853603752334 42.958599533939, -78.853608533786 42.95859965278, -78.85361322196 42.958600600106, -78.853617674408 42.958602347134, -78.853621755846 42.958604840779, -78.853625342261 42.958608005275, -78.853628324681 42.958611744469, -78.853630612487 42.958615944749, -78.853632136165 42.958620478489, -78.85363284942 42.958625207937, -78.853632730578 42.958629989388, -78.853631783252 42.958634677562, -78.853630036225 42.958639130011, -78.853627542579 42.958643211449, -78.853624378084 42.958646797864, -78.853620638889 42.958649780284, -78.85361643861 42.95865206809, -78.853611904869 42.958653591768, -78.853607175422 42.958654305023))",11820,,,,,,,,,,,,,,19.151148818904929
"MULTILINESTRING ((-78.848574203721 42.900162429221, -78.848857184367 42.899947436288, -78.849249172476 42.899687444919, -78.849447129521 42.899558508098, -78.850254109676 42.899089516717))",6881,477789711,,,,,State Route 33,33,01,A15,2,65,14211,14211,182.11687756807135
"MULTILINESTRING ((-78.907407182026 42.950300516472, -78.905764222789 42.950990440702, -78.904703131584 42.951437443417))",2768,477775588,34,198,35,199,Briggs Avenue,,12,A41,5,25,14207,14207,254.47214022071074
"MULTILINESTRING ((-78.821532158569 42.922607441489, -78.820705200487 42.922613476039))",1473,477783311,960,976,963,977,East Delavan Avenue,,12,A31,4,35,14215,14215,67.572634253857245
"MULTILINESTRING ((-78.841016143439 42.88221346774, -78.839222149194 42.882227451136))",6667,477794273,2,98,1,99,Olga Place,,12,A40,5,25,14206,14206,146.69008010083616
"MULTILINESTRING ((-78.851938099798 42.893118494056, -78.851937172707 42.893667483823))",6827,477791486,470,490,469,493,Monroe Street,,12,A40,5,25,14212,14212,61.037511416899811
"MULTILINESTRING ((-78.84307819299 42.919165509704, -78.843097136224 42.918995512611))",5742,484723010,600,602,,,Humboldt Parkway,,12,A30,4,35,14211,14211,18.96376017618282
"MULTILINESTRING ((-78.849563165714 42.924525466013, -78.848449148589 42.924494459798, -78.846488117924 42.924466467922, -78.846451185922 42.92447149227))",5618,477782793,130,298,129,299,Hughes Avenue,,12,A41,5,25,14208,14208,254.41773512304357
"MULTILINESTRING ((-78.85058519393 42.868867427186, -78.849615148374 42.869121498967))",10583,477797808,,,95,113,Elk Street,,12,A41,4,25,14210,14210,84.210211376047937
"MULTILINESTRING ((-78.82056255523 42.954686649181, -78.820623459985 42.954657305104, -78.820708284266 42.954639118379, -78.820796803742 42.954642984227, -78.82087920695 42.954660704101, -78.820977206897 42.954705210805, -78.821045394831 42.954755828152, -78.821079017173 42.954811013408, -78.821113058981 42.954910554952, -78.821121291732 42.955005836185, -78.821118139154 42.955104910443))",2368,600019832,,,,,Marin Circle,,12,A40,5,15,14214,14214,84.510464226318504
"MULTILINESTRING ((-78.859462093313 42.895405483229, -78.859465140923 42.895446437393, -78.85945318038 42.895576495071, -78.859402142773 42.895751450164))",6997,477790771,2,34,,,Orange Street,,12,A40,5,25,14204,14204,38.94751386881471
"MULTILINESTRING ((-78.862263195771 42.845865631499, -78.862004329046 42.845927390667))",11604,800002924,,,,,Driveway,,03,A54,5,15,14218,14218,22.263701062335326
"MULTILINESTRING ((-78.82042116405 42.845292467437, -78.820413166785 42.846126487883))",11426,477801075,82,198,81,199,Ithaca Street,,12,A41,5,25,14220,14220,92.727447932655579
"MULTILINESTRING ((-78.871691126929 42.925988508622, -78.870282132332 42.925976440809))",5157,477782320,736,766,737,767,Bird Avenue,,12,A40,5,25,14209,14209,115.13163422805147
"MULTILINESTRING ((-78.839269190282 42.893007517403, -78.839285099205 42.897231455606))",6810,477791525,718,882,727,879,Fillmore Avenue,,12,A31,4,35,14212,14212,469.6216274836421
"MULTILINESTRING ((-78.873485158352 42.92655051318, -78.873491207004 42.926006484529))",5069,477782293,,,,,Lincoln Parkway,,12,A41,4,25,14209,14209,60.488994040611928
"MULTILINESTRING ((-78.874443100333 42.882101428534, -78.873243206561 42.881887463865))",7441,511383823,2,198,1,99,Booth Alley,,12,A41,5,25,14203,14203,100.95200097086271
"MULTILINESTRING ((-78.81412010257 42.889752471875, -78.812503178118 42.889752474666, -78.811031113929 42.889762481668, -78.810143116807 42.889748502881, -78.809592099746 42.889754441181))",1021,477792438,924,1044,925,1041,East Lovejoy Street,,12,A41,5,25,14206,14206,370.19669651982571
"MULTILINESTRING ((-78.881807183376 42.91949245988, -78.881786727271 42.919705281806, -78.881770210617 42.919962448231))",8518,477784232,628,638,623,639,Richmond Avenue,,12,A31,4,35,14222,14222,52.345954459053559
"MULTILINESTRING ((-78.812413118774 42.873392442026, -78.811772145627 42.873374468535))",702,477796681,2,18,1,17,Rejtan Street,,12,A41,5,25,14206,14206,52.452357430288906
"MULTILINESTRING ((-78.85785621945 42.838377205568, -78.857851438003 42.838377085799, -78.857846749994 42.838376137561, -78.857842297867 42.838374389663, -78.857838216896 42.838371895217, -78.857834631081 42.838368730014, -78.857831649374 42.838364990227, -78.857829362373 42.838360789487, -78.857827839567 42.838356255433, -78.857827127227 42.838351525829, -78.857827246996 42.838346744382, -78.857828195234 42.838342056373, -78.857829943132 42.838337604245, -78.857832437578 42.838333523275, -78.857835602781 42.838329937459, -78.857839342568 42.838326955752, -78.857843543308 42.838324668751, -78.857848077362 42.838323145946, -78.857852806966 42.838322433605, -78.857857588413 42.838322553374, -78.857862276422 42.838323501613, -78.85786672855 42.83832524951, -78.85787080952 42.838327743956, -78.857874395336 42.83833090916, -78.857877377043 42.838334648947, -78.857879664044 42.838338849686, -78.857881186849 42.83834338374, -78.85788189919 42.838348113344, -78.857881779421 42.838352894792, -78.857880831182 42.838357582801, -78.857879083285 42.838362034928, -78.857876588838 42.838366115899, -78.857873423635 42.838369701714, -78.857869683848 42.838372683421, -78.857865483109 42.838374970422, -78.857860949055 42.838376493228, -78.85785621945 42.838377205568))",11882,,,,,,,,,,,,,,19.151148818904929
"MULTILINESTRING ((-78.819898080892 42.84037243197, -78.818869174438 42.840357462661))",11473,477801715,,,103,129,Harding Road,,12,A45,5,25,14220,14220,84.198520177006799
"MULTILINESTRING ((-78.843166191564 42.91467445958, -78.839122090652 42.914631449429))",5459,477785599,570,682,571,661,East Ferry Street,,12,A31,4,35,14211,14211,330.51781086640136
"MULTILINESTRING ((-78.851967167073 42.877454491987, -78.851803154687 42.87737250169, -78.851393200799 42.877127455559, -78.851255155468 42.877055484184, -78.850522152838 42.876767474999))",10784,477795842,646,688,647,687,Swan Street,16,01,A21,4,35,14210,14210,141.20461661418096
"MULTILINESTRING ((-78.858547197936 42.915290499508, -78.857637150022 42.915284480083))",5314,477785391,154,178,153,175,East Ferry Street,,12,A31,4,35,14208,14208,74.371997418396603
